,Mean_temp (K),datetime
121,244.49427949843403,2019-04-08 20:10:00
122,244.47303721271808,2019-04-08 20:20:00
123,244.45826043968304,2019-04-08 20:30:00
124,244.44206614145912,2019-04-08 20:40:00
125,244.43206888585019,2019-04-08 20:50:00
126,244.4113567676711,2019-04-08 21:00:00
127,244.28947639172264,2019-04-08 21:10:00
128,244.27415653690082,2019-04-08 21:20:00
129,244.25865243032445,2019-04-08 21:30:00
130,244.2449212588282,2019-04-08 21:40:00
131,244.2265140006121,2019-04-08 21:50:00
132,244.2109728374716,2019-04-08 22:00:00
133,244.19602125166242,2019-04-08 22:10:00
134,244.18563204817346,2019-04-08 22:20:00
135,244.16957737508483,2019-04-08 22:30:00
136,244.15680348187283,2019-04-08 22:40:00
137,244.14447131631505,2019-04-08 22:50:00
138,244.12844188009808,2019-04-08 23:00:00
139,244.1139586673964,2019-04-08 23:10:00
140,244.09920315791416,2019-04-08 23:20:00
141,244.0838028712613,2019-04-08 23:30:00
142,244.0633717983719,2019-04-08 23:40:00
143,244.04845508778172,2019-04-08 23:50:00
144,244.0369270326118,2019-04-09 00:00:00
145,244.0161632833134,2019-04-09 00:10:00
146,244.0018497598125,2019-04-09 00:20:00
147,243.99634711832385,2019-04-09 00:30:00
148,243.9721495365933,2019-04-09 00:40:00
149,243.96280609126862,2019-04-09 00:50:00
150,243.9411441679527,2019-04-09 01:00:00
151,243.92329121099618,2019-04-09 01:10:00
152,243.90102851635788,2019-04-09 01:20:00
153,243.91367536783483,2019-04-09 01:30:00
154,243.88777405182648,2019-04-09 01:40:00
155,243.87511155671032,2019-04-09 01:50:00
156,243.86612629203037,2019-04-09 02:00:00
157,243.8566630215528,2019-04-09 02:10:00
158,243.853682314832,2019-04-09 02:20:00
159,243.84596202849656,2019-04-09 02:30:00
160,243.84083455762345,2019-04-09 02:40:00
161,243.83763649754016,2019-04-09 02:50:00
162,243.82583655020713,2019-04-09 03:00:00
163,243.8217349773506,2019-04-09 03:10:00
164,243.82037358750682,2019-04-09 03:20:00
165,243.81869447251236,2019-04-09 03:30:00
166,243.81891103433844,2019-04-09 03:40:00
167,243.82114709377566,2019-04-09 03:50:00
168,243.82823090647503,2019-04-09 04:00:00
169,243.824002278592,2019-04-09 04:10:00
170,243.8298376115242,2019-04-09 04:20:00
171,243.832648933788,2019-04-09 04:30:00
172,243.83157107563568,2019-04-09 04:40:00
173,243.8382755080882,2019-04-09 04:50:00
174,243.84000402926338,2019-04-09 05:00:00
175,243.83801933855926,2019-04-09 05:10:00
176,243.84053049602127,2019-04-09 05:20:00
177,243.83579557884815,2019-04-09 05:30:00
178,243.82878522007613,2019-04-09 05:40:00
179,243.81697893075955,2019-04-09 05:50:00
180,243.80193309033422,2019-04-09 06:00:00
181,243.77581370131475,2019-04-09 06:10:00
182,243.7606426788053,2019-04-09 06:20:00
183,243.74264901877189,2019-04-09 06:30:00
184,243.72000337120357,2019-04-09 06:40:00
185,243.69625487222615,2019-04-09 06:50:00
