Time (DDDHHmm),Mean_temp (K)
0980000,245.56127468540492
0980010,245.55805922464043
0980020,245.53883748501067
0980030,245.53696013789502
0980040,245.52903807201545
0980050,245.51697470595934
0980100,245.49383841048459
0980110,245.48603859468787
0980120,245.46317845443562
0980130,245.463937739765
0980140,245.42626697456035
0980150,245.4059750348781
0980200,245.38708218778703
0980210,245.37057361248574
0980220,245.35205020444647
0980230,245.3253571638491
0980240,245.29995104953161
0980250,245.2664358272774
0980300,245.25083149265146
0980310,245.22092702568779
0980320,245.19098313326157
0980330,245.15669407064934
0980340,245.12593654219765
0980350,245.09085257074597
0980400,245.0626364120497
0980410,245.03773833015777
0980420,245.0127887916397
0980430,244.9911035270887
0980440,244.96797692067864
0980450,244.9424264931352
0980500,244.92621742929143
0980510,244.9057972294751
0980520,244.8818578005524
0980530,244.85166848410415
0980540,244.82492355876687
0980550,244.7958505966617
0980600,244.7609462489205
0980610,244.7059913186811
0980620,244.66331369751535
0980630,244.61515287797184
0980640,244.5685392251517
0980650,244.53542259330493
0980700,244.49719720968668
0980710,244.45365294144878
0980720,244.41799148655724
0980730,244.39203411688587
0980740,244.35740405158018
0980750,244.3284377431811
0980800,244.31305825196685
0980810,244.29510122109284
0980820,244.2635770235617
0980830,244.25095339034476
0980840,244.22033114207505
0980850,244.1626278169782
0980900,244.17938379094736
0980910,244.2307974760065
0980920,244.20859236836432
0980930,244.20471142690758
0980940,244.1614702537696
0980950,244.14308914136666
0981000,244.11826808518242
0981010,244.11097595383652
0981020,244.1132514470903
0981030,244.14318623337553
0981040,244.5842115890473
0981050,244.81070623041904
0981100,245.16605273433797
0981110,245.64020062973768
0981120,246.055760840442
0981130,246.4584942133474
0981140,246.8607696853611
0981150,247.24346658592538
0981200,247.26099256277425
0981210,247.145380592384
0981220,246.69282330583576
0981230,245.47940565251878
0981240,251.24391522573293
0981250,258.548463594352
0981300,265.29297400931847
0981310,251.68996911913237
0981320,250.3209083851047
0981330,242.7167738288082
0981340,241.6355194795847
0981350,242.53543690575628
0981400,242.75148478880155
0981410,242.87810541964876
0981420,242.98280356598272
0981430,242.81764695364336
0981440,242.80856252436436
0981450,242.96030390132498
0981500,243.13455812799447
0981510,243.29895970535858
0981520,243.33169901803885
0981530,243.34212743651676
0981540,243.4406017151451
0981550,243.56674693491928
0981600,243.6175053601259
0981610,243.72047368477527
0981620,243.80242489181197
0981630,243.98961257185738
0981640,244.19299555368718
0981650,244.34691872121294
0981700,244.43016724417382
0981710,244.47560686826398
0981720,244.49930808087095
0981730,244.52399198868886
0981740,244.53018486752617
0981750,244.53017323602586
0981800,244.53621374390838
0981810,244.5377757705535
0981820,244.53530043295254
0981830,244.54184862977624
0981840,244.53598395818065
0981850,244.52643985133705
0981900,244.5606665784227
0981910,244.55121332890533
0981920,244.5441617772894
0981930,244.53909936472823
0981940,244.53212450868756
0981950,244.51941099394574
0982000,244.5050784716966
0982010,244.49427949843403
0982020,244.4730372127181
0982030,244.45826043968304
0982040,244.44206614145912
0982050,244.4320688858502
0982100,244.4113567676711
0982110,244.28947639172264
0982120,244.27415653690085
0982130,244.25865243032445
0982140,244.2449212588282
0982150,244.22651400061213
0982200,244.21097283747156
0982210,244.19602125166242
0982220,244.18563204817343
0982230,244.16957737508483
0982240,244.15680348187277
0982250,244.14447131631505
0982300,244.1284418800981
0982310,244.11395866739636
0982320,244.09920315791416
0982330,244.08380287126127
0982340,244.06337179837192
0982350,244.04845508778175
0990000,244.0369270326118
0990010,244.0161632833134
0990020,244.0018497598125
0990030,243.99634711832388
0990040,243.97214953659326
0990050,243.96280609126865
0990100,243.9411441679527
0990110,243.9232912109962
0990120,243.90102851635788
0990130,243.91367536783477
