Time (DDDHHmm),Mean_temp (K)
0990800,243.65491815710848
0990810,243.62300102552362
0990820,243.59694439658767
0990830,243.56662658368418
0990840,243.53482510192012
0990850,243.5070936248564
0990900,243.47907715081178
0990910,243.45408694324527
0990920,243.42541119776666
0990930,243.40134477549506
0990940,243.37599403694497
0990950,243.35016719377393
0991000,243.32298099637737
0991010,243.2922148117211
0991020,243.25013133501204
0991030,243.21362385924303
0991040,243.1793193466105
0991050,243.14726446173503
0991100,243.11796082500638
0991110,243.09126660529444
0991120,243.06176344594905
0991130,243.04332178785668
0991140,243.01949031519854
0991150,242.99078779691985
0991200,242.96476963925616
0991210,242.94440902247092
0991220,242.9289801101887
0991230,242.9147055145734
0991240,242.90153979762172
0991250,242.88430066960584
0991300,242.8817029581427
0991310,242.8640523654098
0991320,242.85199601987614
0991330,242.8392642055737
0991340,242.82522189437975
0991350,242.81075430682344
0991400,242.80045511094562
0991410,242.79296452942017
0991420,242.78296067911884
0991430,242.77023560183704
0991440,242.76810702301725
0991450,242.76390672172676
0991500,242.75940216496164
0991510,242.75037720892908
0991520,242.74582204841616
0991530,242.7402731959522
0991540,242.73532458304754
0991550,242.73429009264373
0991600,242.73267029481227
0991610,242.7335683851836
0991620,242.73912616939234
0991630,242.73892029942917
0991640,242.74247116927705
0991650,242.7442682226615
0991700,242.72891530116962
0991710,242.7331300267751
0991720,242.73443443709766
0991730,242.73850054481716
0991740,242.74323329376676
0991750,242.73749530656448
0991800,242.74105395831444
0991810,242.73960475797668
0991820,242.72880306253413
0991830,242.72377164363618
0991840,242.72528388242904
0991850,242.71667946084295
0991900,242.70445871962482
0991910,242.70181631776885
0991920,242.69991612828156
0991930,242.69487291592893
0991940,242.69096992361884
0991950,242.6795505493047
0992000,242.68083032103968
0992010,242.67541048640547
0992020,242.66613894710343
0992030,242.6582697315487
0992040,242.65120219463108
0992050,242.6370768829951
0992100,242.62566004989276
0992110,242.6105233938708
0992120,242.6020347165411
0992130,242.59886064328586
0992140,242.59664040414154
0992150,242.59572688081477
0992200,242.5958782467694
0992210,242.59172802661564
0992220,242.59152624531308
0992230,242.58389448922128
0992240,242.57735328729692
0992250,242.56971605095168
0992300,242.56950387132161
0992310,242.56063137073104
0992320,242.5446406064103
0992330,242.53322605632275
0992340,242.51754444664817
0992350,242.5041403015037
1000000,242.49317048458136
1000010,242.47520818492032
1000020,242.45891273100725
1000030,242.43832786247236
1000040,242.41529330570344
1000050,242.39762878390903
1000100,242.3669196135931
1000110,242.3500987830326
1000120,242.32923716451316
1000130,242.30719125421902
1000140,242.28618371115303
1000150,242.2588587190267
1000200,242.23748426698765
1000210,242.2120711373726
1000220,242.1938781432274
1000230,242.1669928286923
1000240,242.14125672465397
1000250,242.11360807521964
1000300,242.08552144527502
1000310,242.056623332091
1000320,242.03158044363192
1000330,242.00376590893734
1000340,241.9898956732532
1000350,241.97751982868527
1000400,241.96138132660224
1000410,241.9557109244197
1000420,241.93399414504714
1000430,241.91675002503933
1000440,241.89617800941977
1000450,241.86830116326416
1000500,241.8866197258524
1000510,241.857722287165
1000520,241.7934381365933
1000530,241.7686205462911
1000540,241.74746388040802
1000550,241.73371623295452
1000600,241.71364130216676
1000610,241.69355761340321
1000620,241.6661063851849
1000630,241.63296275686787
1000640,241.5976328699118
1000650,241.5575371003519
1000700,241.51935205645216
1000710,241.4763694339164
1000720,241.43278408472727
1000730,241.38827406641673
1000740,241.33808298096528
1000750,241.29324251351602
1000800,241.24898875465573
1000810,241.1943837975668
1000820,241.14611582513103
1000830,241.09424854757057
1000840,241.05100412935238
1000850,241.0136499633563
1000900,240.9772352772479
1000910,240.93945851311497
1000920,240.9138504808885
1000930,240.89424459910998
1000940,240.87260013862573
1000950,240.84961486594648
